date,type,locale,locale_name,description,transferred
2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2012-12-05,Additional,Local,Quito,Fundacion de Quito-1,False
2012-12-06,Holiday,Local,Quito,Fundacion de Quito,False
2013-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2013-12-05,Additional,Local,Quito,Fundacion de Quito-1,False
2013-12-06,Holiday,Local,Quito,Fundacion de Quito,False
2014-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2014-12-05,Additional,Local,Quito,Fundacion de Quito-1,False
2014-12-06,Holiday,Local,Quito,Fundacion de Quito,False
2015-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2015-12-05,Additional,Local,Quito,Fundacion de Quito-1,False
2015-12-06,Holiday,Local,Quito,Fundacion de Quito,False
2016-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2016-12-05,Additional,Local,Quito,Fundacion de Quito-1,False
2016-12-06,Holiday,Local,Quito,Fundacion de Quito,False
2017-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2017-12-05,Additional,Local,Quito,Fundacion de Quito-1,False
2017-12-06,Holiday,Local,Quito,Fundacion de Quito,True
2017-12-08,Transfer,Local,Quito,Traslado Fundacion de Quito,False
